title,duration,genre,imdb_rating,metascore_rating,votes
Black Summer,40 min,"Action, Drama, Horror",6.4,,"16,830"
The Angry Birds Movie 2,97 min,"Animation, Adventure, Comedy",6.4,60,"16,811"
War,154 min,"Action, Thriller",6.5,,"16,802"
Wine Country,103 min,Comedy,5.4,56,"16,659"
Years and Years,60 min,"Drama, Sci-Fi",8.4,,"16,622"
Deadwood: The Movie,110 min,"Drama, Western",7.4,,"16,569"
The Great Hack,114 min,Documentary,7.0,67,"16,542"
Rim of the World,98 min,"Action, Adventure, Comedy",5.1,,"16,217"
Swamp Thing,60 min,"Action, Adventure, Drama",7.6,,"16,146"
The Mandalorian,41 min,"Action, Adventure, Sci-Fi",7.8,,"16,069"
Secret Obsession,97 min,"Drama, Mystery, Thriller",4.3,,"15,978"
The Act,60 min,"Biography, Crime, Drama",8.0,,"15,824"
Vivarium,97 min,"Horror, Mystery, Sci-Fi",5.8,64,"15,774"
The Witcher,61 min,"Action, Adventure, Fantasy",7.9,,"15,739"
Fantasy Island,109 min,"Adventure, Fantasy, Horror",4.8,22,"15,585"
The Beach Bum,95 min,Comedy,5.5,55,"15,579"
The Good Liar,109 min,"Crime, Drama, Mystery",6.6,55,"15,474"
47 Meters Down: Uncaged,90 min,"Adventure, Drama, Horror",5.0,43,"15,469"
Blinded by the Light,118 min,"Comedy, Drama, Music",6.9,71,"15,391"
The Witcher,67 min,"Action, Adventure, Fantasy",8.7,,"15,350"
Someone Great,92 min,"Comedy, Romance",6.2,63,"15,254"
The Society,58 min,"Drama, Mystery, Sci-Fi",7.0,,"15,145"
Ip Man 4: The Finale,107 min,"Action, Biography, Drama",7.1,62,"14,972"
A Dog's Journey,109 min,"Adventure, Comedy, Drama",7.4,43,"14,831"
Stranger Things,50 min,"Drama, Fantasy, Horror",7.9,,"14,824"
The Way Back,108 min,"Drama, Sport",6.8,68,"14,726"
Tall Girl,101 min,Comedy,5.2,,"14,699"
Let It Snow,92 min,"Comedy, Romance",5.8,51,"14,686"
Ragnarok,45 min,"Drama, Fantasy",7.5,,"14,648"
The Aftermath,108 min,"Drama, Romance, War",6.3,43,"14,543"
Asur: Welcome to Your Dark Side,43 min,"Crime, Drama, Thriller",8.5,,"14,418"
