title,duration,genre,imdb_rating,metascore_rating,votes
Trinkets,30 min,"Crime, Drama",7.1,,"3,988"
Better Call Saul,45 min,"Crime, Drama",8.7,,"3,988"
Money Heist,42 min,"Action, Crime, Mystery",7.0,,"3,984"
Mermaid Down,91 min,"Fantasy, Horror, Mystery",6.5,,"3,970"
Tuca & Bertie,26 min,"Animation, Comedy",7.4,,"3,968"
Upload,,Sci-Fi,8.2,,"3,946"
Hollywood,347 min,Drama,7.6,,"3,941"
Doctor Who,46 min,"Adventure, Drama, Family",4.1,,"3,939"
The Walking Dead,43 min,"Drama, Horror, Thriller",7.1,,"3,935"
Synonyms,123 min,"Comedy, Drama",6.5,84,"3,931"
Star Wars: The Clone Wars,25 min,"Animation, Action, Adventure",9.9,,"3,924"
The Handmaid's Tale,52 min,"Drama, Sci-Fi, Thriller",9.3,,"3,921"
Darbar,159 min,"Action, Thriller",6.2,,"3,913"
His Dark Materials,55 min,"Adventure, Drama, Family",8.0,,"3,912"
Aziz Ansari: Right Now,65 min,Comedy,7.5,,"3,910"
The Pharmacist,215 min,"Documentary, Crime",7.8,,"3,904"
Money Heist,53 min,"Action, Crime, Mystery",7.5,,"3,892"
Mindhunter,71 min,"Crime, Drama, Thriller",9.0,,"3,881"
Mindhunter,48 min,"Crime, Drama, Thriller",8.2,,"3,875"
Mine 9,83 min,Drama,6.7,65,"3,874"
Mr. Iglesias,30 min,Comedy,7.1,,"3,866"
After the Wedding,112 min,Drama,6.2,50,"3,835"
Doctor Who,60 min,"Adventure, Drama, Family",5.7,,"3,816"
Kitbull,9 min,"Animation, Short, Drama",8.0,,"3,812"
Deerskin,77 min,"Comedy, Horror",6.8,65,"3,806"
Mrs. Fletcher,31 min,Comedy,7.0,,"3,765"
Downhill,86 min,"Comedy, Drama",4.8,49,"3,746"
Recep Ivedik 6,110 min,Comedy,2.8,,"3,738"
Dickinson,30 min,"Biography, Comedy, Drama",7.1,,"3,699"
A Confession,45 min,"Biography, Crime, Drama",7.5,,"3,691"
See,57 min,"Action, Drama, Sci-Fi",8.4,,"3,690"
When They See Us,71 min,"Biography, Crime, Drama",9.1,,"3,679"
Star Trek: Discovery,61 min,"Action, Adventure, Drama",7.3,,"3,671"
The Morning Show,66 min,Drama,9.7,,"3,670"
Peaky Blinders,57 min,"Crime, Drama",9.0,,"3,669"
While at War,107 min,"Drama, History, War",7.0,55,"3,662"
Invisible Life,139 min,Drama,7.9,81,"3,661"
Death Stranding,,"Action, Adventure, Drama",9.0,,"3,641"
The Punisher,58 min,"Action, Adventure, Crime",9.1,,"3,631"
Mindhunter,46 min,"Crime, Drama, Thriller",8.7,,"3,628"
Big Little Lies,45 min,"Crime, Drama, Mystery",8.3,,"3,612"
The Outsider,60 min,"Crime, Drama, Fantasy",8.8,,"3,602"
A Christmas Prince: The Royal Baby,84 min,"Family, Romance",5.3,,"3,600"
High Fidelity,,"Comedy, Drama, Romance",7.6,,"3,589"
The Unauthorized Bash Brothers Experience,30 min,"Short, Comedy, Music",7.0,,"3,585"
"Live Twice, Love Once",101 min,"Comedy, Drama",7.2,,"3,578"
Assimilate,93 min,"Horror, Mystery, Sci-Fi",5.3,,"3,578"
Ghost Stories,144 min,"Horror, Thriller",4.3,,"3,574"
The Punisher,51 min,"Action, Adventure, Crime",8.9,,"3,573"
BH90210,43 min,"Comedy, Drama, Romance",6.9,,"3,570"
The Handmaid's Tale,48 min,"Drama, Sci-Fi, Thriller",6.1,,"3,566"
The First King,123 min,"Drama, History",6.6,,"3,562"
Love Is Blind,,Reality-TV,6.0,,"3,557"
Doctor Who,61 min,"Adventure, Drama, Family",6.5,,"3,556"
Beats,109 min,Drama,6.4,,"3,550"
Mindhunter,73 min,"Crime, Drama, Thriller",8.8,,"3,548"
Deputy,44 min,"Action, Crime, Drama",6.1,,"3,545"
Panipat,165 min,"Action, Drama, History",5.5,,"3,544"
Don't Let Go,103 min,"Drama, Horror, Mystery",6.1,49,"3,539"
Toy Boy,,"Crime, Drama, Thriller",6.5,,"3,538"
Chopsticks,100 min,"Comedy, Drama",6.5,,"3,535"
Ozark,66 min,"Crime, Drama, Thriller",9.6,,"3,524"
Nancy Drew,44 min,"Drama, Fantasy, Mystery",6.0,,"3,522"
The Rook,50 min,"Drama, Fantasy, Thriller",6.8,,"3,520"
Peaky Blinders,58 min,"Crime, Drama",8.7,,"3,509"
The Walking Dead,47 min,"Drama, Horror, Thriller",7.8,,"3,506"
The Walking Dead,53 min,"Drama, Horror, Thriller",8.3,,"3,504"
Daniel Isn't Real,100 min,"Horror, Thriller",6.1,61,"3,494"
Demon Slayer: Kimetsu No Yaiba,24 min,"Animation, Action, Fantasy",9.9,,"3,486"
The Umbrella Academy,59 min,"Action, Adventure, Comedy",7.9,,"3,481"
The Plot Against America,60 min,"Drama, Thriller",7.2,,"3,474"
The Last Full Measure,116 min,"Drama, War",6.6,52,"3,462"
Star Trek: Picard,42 min,"Action, Adventure, Drama",7.5,,"3,452"
Baptiste,60 min,"Crime, Drama, Thriller",7.2,,"3,448"
Sex Education,52 min,"Comedy, Drama",8.0,,"3,442"
The Specials,114 min,"Comedy, Drama",7.5,,"3,437"
PEN15,30 min,Comedy,7.9,,"3,434"
Truth Be Told,45 min,"Crime, Drama, Thriller",7.1,,"3,434"
Domino,89 min,"Action, Crime, Thriller",4.4,40,"3,434"
Saand Ki Aankh,146 min,"Biography, Drama",7.9,,"3,430"
McMillions,344 min,"Documentary, Crime, History",7.3,,"3,429"
Sex Education,59 min,"Comedy, Drama",7.7,,"3,427"
The Punisher,55 min,"Action, Adventure, Crime",8.2,,"3,421"
The Naked Director,48 min,"Biography, Drama",7.9,,"3,417"
The Twilight Zone,37 min,"Drama, Fantasy, Horror",6.9,,"3,407"
One Child Nation,88 min,"Documentary, History",7.5,85,"3,407"
Batwoman,42 min,"Action, Adventure, Crime",4.8,,"3,398"
Despite Everything,78 min,Comedy,5.3,,"3,397"
Catherine the Great,60 min,"Biography, Drama, History",6.1,,"3,396"
Doctor Who,49 min,"Adventure, Drama, Family",7.6,,"3,395"
Star Wars: The Clone Wars,27 min,"Animation, Action, Adventure",9.8,,"3,390"
Steven Universe: The Movie,82 min,"Animation, Adventure, Comedy",7.9,,"3,389"
A Cinderella Story: Christmas Wish,85 min,"Comedy, Family, Fantasy",5.2,,"3,388"
A Madea Family Funeral,109 min,Comedy,4.4,39,"3,385"
Pokémon: Mewtwo Strikes Back - Evolution,98 min,"Animation, Action, Family",5.8,,"3,377"
The Crown,55 min,"Drama, History",9.4,,"3,373"
Big Little Lies,55 min,"Crime, Drama, Mystery",8.9,,"3,368"
Thadam,138 min,"Action, Crime, Thriller",8.2,,"3,367"
The Collini Case,123 min,"Crime, Drama, Thriller",7.2,,"3,364"
Jett,,"Action, Crime, Drama",7.4,,"3,361"
Mindhunter,51 min,"Crime, Drama, Thriller",8.6,,"3,360"
Wonder Woman: Bloodlines,83 min,"Animation, Action, Fantasy",5.8,,"3,349"
Mindhunter,60 min,"Crime, Drama, Thriller",8.3,,"3,339"
When They See Us,73 min,"Biography, Crime, Drama",8.5,,"3,335"
Ek Ladki Ko Dekha Toh Aisa Laga,120 min,"Comedy, Drama, Romance",5.5,,"3,325"
The Big Bang Theory,19 min,"Comedy, Romance",9.2,,"3,324"
Surviving R. Kelly,306 min,"Documentary, Crime, Music",7.6,,"3,318"
Westworld,,"Drama, Mystery, Sci-Fi",8.5,,"3,313"
Primal,97 min,Action,4.8,32,"3,309"
Exit,30 min,Drama,8.2,,"3,307"
Little Joe,105 min,"Drama, Horror, Mystery",5.9,60,"3,301"
Poms,90 min,"Comedy, Drama, Sport",5.8,36,"3,301"
The Walking Dead,44 min,"Drama, Horror, Thriller",7.3,,"3,299"
I Still Believe,116 min,"Drama, Music, Romance",6.4,41,"3,296"
Minecraft Epic,,"Action, Adventure, Comedy",9.8,,"3,292"
Star Trek: Discovery,43 min,"Action, Adventure, Drama",7.8,,"3,286"
Ultras,108 min,Drama,6.0,,"3,286"
The Twilight Zone,45 min,"Drama, Fantasy, Horror",5.6,,"3,283"
Kaappaan,166 min,"Action, Thriller",6.4,,"3,282"
Resident Evil 2,,"Action, Adventure, Horror",9.2,,"3,281"
Finding Steve McQueen,91 min,"Crime, Romance",6.2,56,"3,280"
Black Monday,60 min,Comedy,7.4,,"3,268"
Lucy in the Sky,124 min,"Drama, Sci-Fi",4.7,36,"3,266"
Gangs of London,,"Action, Crime, Drama",8.6,,"3,254"
See,50 min,"Action, Drama, Sci-Fi",8.9,,"3,248"
Attack on Titan,23 min,"Animation, Action, Adventure",9.5,,"3,245"
Killerman,112 min,"Action, Crime, Drama",5.6,42,"3,243"
Pretty Little Liars: The Perfectionists,45 min,"Crime, Drama, Mystery",7.1,,"3,241"
The Walking Dead,50 min,"Drama, Horror, Thriller",8.1,,"3,237"
Photograph,110 min,"Drama, Romance",6.8,65,"3,231"
Star Trek: Picard,45 min,"Action, Adventure, Drama",6.9,,"3,219"
Star Trek: Discovery,65 min,"Action, Adventure, Drama",8.3,,"3,212"
Greatest Events of WWII in Colour,50 min,"Documentary, History, War",8.7,,"3,212"
Panga,131 min,"Drama, Sport",7.0,,"3,205"
Normal People,,Drama,8.9,,"3,203"
Altered Carbon: Resleeved,74 min,"Animation, Action, Crime",6.5,,"3,193"
Amy Schumer: Growing,60 min,Comedy,5.2,,"3,192"
"I Love You, Now Die: The Commonwealth v. Michelle Carter",143 min,"Documentary, Crime, Drama",7.5,,"3,186"
Ozark,62 min,"Crime, Drama, Thriller",9.4,,"3,180"
Four Weddings and a Funeral,60 min,"Comedy, Romance",7.1,,"3,177"
Blow the Man Down,91 min,"Comedy, Drama, Mystery",6.4,72,"3,174"
Cheer,58 min,"Documentary, Reality-TV",8.2,,"3,171"
Lying and Stealing,100 min,"Crime, Drama",5.3,50,"3,169"
Airplane Mode,80 min,Comedy,3.8,,"3,166"
Furie,98 min,"Action, Drama, Thriller",6.3,,"3,161"
The Walking Dead,44 min,"Drama, Horror, Thriller",8.0,,"3,159"
Primal,22 min,"Animation, Action, Adventure",8.7,,"3,156"
Drive,147 min,"Action, Thriller",2.5,,"3,151"
The Office,22 min,Comedy,6.6,,"3,147"
Human Capital,95 min,"Crime, Drama",6.3,51,"3,142"
Our Boys,58 min,Drama,7.3,,"3,141"
Good Trouble,45 min,"Comedy, Drama, Romance",7.4,,"3,140"
Star Trek: Picard,44 min,"Action, Adventure, Drama",7.3,,"3,139"
The Personal History of David Copperfield,119 min,"Comedy, Drama",6.6,75,"3,139"
Big Little Lies,50 min,"Crime, Drama, Mystery",8.9,,"3,138"
Excursion,85 min,"Mystery, Sci-Fi, Thriller",6.8,,"3,132"
First Love,108 min,"Comedy, Crime, Romance",6.9,77,"3,132"
The InBetween,43 min,"Drama, Sci-Fi",7.0,,"3,129"
Madhuraraja,147 min,"Action, Comedy, Drama",6.8,,"3,119"
Merry Happy Whatever,26 min,Comedy,6.2,,"3,116"
Brother in Love,115 min,"Comedy, Family",7.1,,"3,115"
Euphoria,53 min,Drama,8.2,,"3,114"
True History of the Kelly Gang,124 min,"Biography, Crime, Drama",6.1,75,"3,109"
BoJack Horseman,27 min,"Animation, Comedy, Drama",9.6,,"3,109"
The Chef Show,30 min,Documentary,8.2,,"3,109"
Kevin Hart: Irresponsible,60 min,Comedy,6.4,,"3,106"
The Punisher,58 min,"Action, Adventure, Crime",7.9,,"3,099"
Dollface,29 min,Comedy,7.3,,"3,099"
Doctor Who,50 min,"Adventure, Drama, Family",6.5,,"3,097"
Turkish Ice-Cream,120 min,"Drama, History, War",6.4,,"3,097"
Sex Education,46 min,"Comedy, Drama",8.8,,"3,095"
Manhunt,45 min,"Crime, Drama, Mystery",7.4,,"3,094"
Ares,32 min,Horror,5.6,,"3,086"
Sex Education,49 min,"Comedy, Drama",9.0,,"3,084"
Virus,152 min,"Drama, Thriller",8.0,,"3,083"
Rocko's Modern Life: Static Cling,45 min,"Animation, Action, Adventure",7.0,,"3,083"
Peaky Blinders,55 min,"Crime, Drama",8.8,,"3,081"
The Walking Dead,45 min,"Drama, Horror, Thriller",8.0,,"3,075"
Vikings,45 min,"Action, Adventure, Drama",8.8,,"3,075"
Shooting Heroin,90 min,"Action, Drama, Thriller",7.3,,"3,069"
The Death of Dick Long,100 min,"Comedy, Crime, Drama",6.3,69,"3,059"
Cold Blood,91 min,"Action, Thriller",4.6,25,"3,058"
Satanic Panic,85 min,"Comedy, Horror",5.6,51,"3,054"
Carmen Sandiego,22 min,"Animation, Action, Adventure",7.9,,"3,047"
Blood & Treasure,60 min,"Action, Adventure",6.6,,"3,034"
Nancy Drew and the Hidden Staircase,89 min,"Comedy, Crime, Drama",5.7,55,"3,028"
NGK,148 min,"Action, Drama",6.0,,"3,026"
ImMATURE,25 min,"Comedy, Drama, Romance",8.9,,"3,020"
Overcomer,119 min,"Drama, Family, Sport",6.5,17,"3,020"
The Forgotten Army - Azaadi ke liye,,"Action, Drama, History",8.1,,"3,014"
The Walking Dead,54 min,"Drama, Horror, Thriller",7.3,,"3,011"
See,56 min,"Action, Drama, Sci-Fi",8.0,,"3,011"
One Piece: Stampede,101 min,"Animation, Action, Adventure",7.8,,"3,007"
A Score to Settle,103 min,"Action, Crime, Drama",4.6,37,"3,006"
Sex Education,49 min,"Comedy, Drama",8.0,,"3,003"
The Punisher,47 min,"Action, Adventure, Crime",8.8,,"2,998"
The Endless Trench,147 min,Drama,7.3,,"2,996"
Mr. Jones,141 min,"Biography, Drama, Thriller",6.8,64,"2,995"
Sex Education,50 min,"Comedy, Drama",8.4,,"2,979"
Mindhunter,58 min,"Crime, Drama, Thriller",8.2,,"2,978"
The Punisher,51 min,"Action, Adventure, Crime",8.4,,"2,977"
His Dark Materials,56 min,"Adventure, Drama, Family",8.2,,"2,976"
The Orville,48 min,"Adventure, Comedy, Drama",9.2,,"2,976"
The Outsider,60 min,"Crime, Drama, Fantasy",8.1,,"2,975"
The Handmaid's Tale,49 min,"Drama, Sci-Fi, Thriller",8.4,,"2,971"
Mindhunter,53 min,"Crime, Drama, Thriller",8.7,,"2,961"
Sonchiriya,143 min,"Action, Crime, Drama",7.5,,"2,954"
Piranhas,105 min,"Crime, Drama",6.4,57,"2,953"
The Haunting of Sharon Tate,94 min,"Drama, Horror, Thriller",2.8,8,"2,949"
The Operative,116 min,"Action, Drama, Thriller",5.6,47,"2,947"
Guilty,119 min,"Drama, Thriller",5.6,,"2,946"
Mindhunter,58 min,"Crime, Drama, Thriller",8.3,,"2,943"
The Walking Dead,44 min,"Drama, Horror, Thriller",8.5,,"2,937"
Jamtara: Sabka Number Ayega,29 min,Crime,7.4,,"2,937"
Typewriter,48 min,"Horror, Thriller",6.5,,"2,933"
Who You Think I Am,101 min,"Drama, Romance",6.8,,"2,927"
The Punisher,50 min,"Action, Adventure, Crime",8.9,,"2,920"
Fleabag,26 min,"Comedy, Drama",9.3,,"2,918"
Beastars,22 min,"Animation, Crime, Drama",8.0,,"2,918"
Medical Police,24 min,Comedy,5.8,,"2,916"
The Walking Dead,45 min,"Drama, Horror, Thriller",8.2,,"2,911"
The First Temptation of Christ,46 min,"Short, Comedy",4.6,,"2,903"
American Horror Story,48 min,"Drama, Horror, Thriller",8.0,,"2,899"
The Walking Dead,44 min,"Drama, Horror, Thriller",7.5,,"2,893"
The Umbrella Academy,58 min,"Action, Adventure, Comedy",7.9,,"2,889"
"Seven Worlds, One Planet",407 min,Documentary,9.4,,"2,874"
The Punisher,57 min,"Action, Adventure, Crime",8.1,,"2,870"
Star Trek: Discovery,49 min,"Action, Adventure, Drama",6.5,,"2,870"
Northern Rescue,45 min,"Drama, Family",7.1,,"2,868"
The Victim,57 min,Drama,7.7,,"2,867"
Star Trek: Picard,58 min,"Action, Adventure, Drama",8.4,,"2,866"
Impractical Jokers: The Movie,92 min,Comedy,6.1,39,"2,861"
The Spanish Princess,55 min,"Drama, History",6.8,,"2,861"
Laal Kaptaan,155 min,"Action, Adventure, Drama",7.3,,"2,856"
The Umbrella Academy,46 min,"Action, Adventure, Comedy",8.9,,"2,855"
Sex Education,51 min,"Comedy, Drama",8.7,,"2,854"
Big Time Adolescence,91 min,Comedy,7.0,64,"2,848"
Travis Scott: Look Mom I Can Fly,84 min,"Documentary, Music",6.3,,"2,848"
Good Omens,51 min,"Comedy, Fantasy",8.1,,"2,847"
Amazing Stories,52 min,"Action, Adventure, Drama",6.2,,"2,845"
Made in China,128 min,"Comedy, Drama",6.2,,"2,842"
The Punisher,52 min,"Action, Adventure, Crime",8.4,,"2,842"
Into the Night,,"Drama, Sci-Fi, Thriller",7.3,,"2,833"
Star Wars: The Clone Wars,,"Animation, Action, Adventure",9.9,,"2,830"
Criminal: Germany,59 min,"Crime, Drama",7.7,,"2,828"
Star Trek: Discovery,54 min,"Action, Adventure, Drama",8.3,,"2,824"
The Wild Goose Lake,113 min,"Crime, Drama",6.9,76,"2,816"
Last Breath,90 min,Documentary,7.7,,"2,814"
Motherland: Fort Salem,,"Drama, Fantasy, Sci-Fi",6.7,,"2,812"
Lincoln Rhyme: Hunt for the Bone Collector,43 min,"Crime, Drama, Mystery",6.9,,"2,806"
Euphoria,55 min,Drama,9.2,,"2,801"
The Punisher,49 min,"Action, Adventure, Crime",8.3,,"2,799"
Supernatural,42 min,"Drama, Fantasy, Horror",9.4,,"2,794"
"The Mind, Explained",20 min,Documentary,8.1,,"2,787"
The Orville,49 min,"Adventure, Comedy, Drama",9.0,,"2,773"
World on Fire,57 min,"Drama, War",7.2,,"2,771"
Star Trek: Discovery,52 min,"Action, Adventure, Drama",6.5,,"2,764"
The Circle,48 min,"Game-Show, Reality-TV",7.5,,"2,762"
Doctor Who,66 min,"Adventure, Drama, Family",5.5,,"2,761"
The Virtues,,Drama,8.3,,"2,756"
Star Trek: Discovery,51 min,"Action, Adventure, Drama",7.2,,"2,750"
Rabid,107 min,"Horror, Sci-Fi",5.1,43,"2,747"
Doom Patrol,58 min,"Action, Adventure, Comedy",8.7,,"2,745"
The Punisher,55 min,"Action, Adventure, Crime",8.5,,"2,738"
Sex Education,52 min,"Comedy, Drama",8.4,,"2,736"
The Punisher,58 min,"Action, Adventure, Crime",8.3,,"2,736"
Steven Universe,44 min,"Animation, Adventure, Comedy",9.6,,"2,726"
We Die Young,92 min,"Action, Crime, Drama",5.3,,"2,720"
Harpoon,83 min,"Comedy, Horror",6.0,65,"2,718"
Uncorked,104 min,Drama,6.2,63,"2,716"
Kannum Kannum Kollaiyadithaal,160 min,"Drama, Romance, Thriller",7.7,,"2,714"
Sex Education,46 min,"Comedy, Drama",8.2,,"2,712"
The Crown,56 min,"Drama, History",9.2,,"2,711"
Unda,130 min,"Action, Comedy, Thriller",8.0,,"2,711"
Big Little Lies,49 min,"Crime, Drama, Mystery",8.9,,"2,709"
The Orville,49 min,"Adventure, Comedy, Drama",6.6,,"2,709"
The Orville,48 min,"Adventure, Comedy, Drama",9.2,,"2,705"
Evaru,118 min,"Crime, Drama, Thriller",8.2,,"2,703"
Wu-Tang: An American Saga,49 min,"Biography, Drama",8.3,,"2,693"
Jallikattu,95 min,"Action, Crime",7.7,,"2,686"
Seberg,102 min,"Biography, Drama, Thriller",5.3,54,"2,684"
Fleabag,26 min,"Comedy, Drama",9.4,,"2,679"
Doctor Who,50 min,"Adventure, Drama, Family",5.2,,"2,676"
State of the Union,10 min,"Short, Comedy, Drama",7.9,,"2,676"
Sea Fever,95 min,"Horror, Sci-Fi",5.7,60,"2,674"
Bhoot: Part One - The Haunted Ship,114 min,"Horror, Mystery",5.6,,"2,672"
Crypto,105 min,"Crime, Drama, Thriller",5.3,,"2,671"
Grand Hotel,43 min,"Crime, Drama, Mystery",7.0,,"2,666"
The Umbrella Academy,56 min,"Action, Adventure, Comedy",8.0,,"2,658"
Android Kunjappan Ver 5.25,140 min,"Comedy, Drama",8.3,,"2,657"
Star Trek: Picard,54 min,"Action, Adventure, Drama",7.9,,"2,657"
Never Rarely Sometimes Always,101 min,Drama,7.2,92,"2,657"
You,49 min,"Crime, Drama, Romance",8.7,,"2,655"
Modern Love,31 min,"Comedy, Romance",8.4,,"2,642"
John Mulaney & the Sack Lunch Bunch,70 min,"Comedy, Family, Musical",7.5,,"2,636"
On Becoming a God in Central Florida,46 min,Comedy,7.2,,"2,633"
Defending Jacob,45 min,"Drama, Mystery, Thriller",8.4,,"2,627"
Deadwater Fell,60 min,"Crime, Drama, Mystery",6.3,,"2,626"
Elisa & Marcela,118 min,"Biography, Drama, Romance",6.5,33,"2,624"
American Hangman,99 min,Thriller,5.9,38,"2,614"
The Orville,49 min,"Adventure, Comedy, Drama",8.3,,"2,613"
Thackeray,120 min,"Biography, Drama",5.2,,"2,611"
The Outsider,60 min,"Crime, Drama, Fantasy",8.1,,"2,607"
Itsy Bitsy,94 min,"Fantasy, Horror, Mystery",5.1,,"2,588"
Lunatics,35 min,Comedy,6.6,,"2,586"
Bliss,80 min,"Horror, Mystery",5.8,53,"2,583"
Burn,88 min,Thriller,5.7,50,"2,571"
The Name of the Rose,60 min,"Drama, Mystery, Thriller",6.9,,"2,571"
Never Grow Old,100 min,"Action, Drama, Western",5.9,65,"2,568"
Hell House LLC III: Lake of Fire,85 min,Horror,5.7,,"2,568"
Star Trek: Discovery,56 min,"Action, Adventure, Drama",7.7,,"2,563"
The Warden,100 min,"Drama, Mystery, Romance",7.4,,"2,560"
Big Little Lies,44 min,"Crime, Drama, Mystery",8.2,,"2,560"
Tidying Up with Marie Kondo,40 min,Reality-TV,6.6,,"2,558"
You,44 min,"Crime, Drama, Romance",9.1,,"2,556"
Matthias & Maxime,119 min,Drama,6.8,59,"2,555"
Sex Education,49 min,"Comedy, Drama",8.1,,"2,555"
The 100,42 min,"Drama, Mystery, Sci-Fi",8.7,,"2,549"
His Dark Materials,55 min,"Adventure, Drama, Family",8.2,,"2,548"
The Legacy of the Bones,121 min,"Crime, Thriller",6.1,,"2,547"
Supernatural,41 min,"Drama, Fantasy, Horror",9.3,,"2,542"
The Turkey Bowl,120 min,Comedy,7.3,,"2,540"
Clownado,99 min,"Comedy, Horror",6.2,,"2,536"
Exit,103 min,"Action, Comedy",7.0,,"2,534"
Love at Second Sight,117 min,"Comedy, Drama, Family",7.0,,"2,527"
Supergirl,42 min,"Action, Adventure, Drama",8.6,,"2,523"
Sex Education,51 min,"Comedy, Drama",8.2,,"2,522"
Star Trek: Discovery,52 min,"Action, Adventure, Drama",8.0,,"2,518"
Dia,137 min,Drama,8.3,,"2,518"
The Orville,49 min,"Adventure, Comedy, Drama",8.3,,"2,515"
Star Trek: Picard,56 min,"Action, Adventure, Drama",7.6,,"2,508"
The Crown,48 min,"Drama, History",8.1,,"2,506"
The Umbrella Academy,57 min,"Action, Adventure, Comedy",8.1,,"2,504"
The Son,92 min,Thriller,5.4,,"2,502"
Now Apocalypse,30 min,Comedy,6.2,,"2,500"
Tell No One,121 min,Documentary,8.5,,"2,499"
VFW,92 min,"Action, Horror",6.1,72,"2,498"
Twin Murders: The Silence of the White City,110 min,"Action, Adventure, Crime",5.2,,"2,498"
The Umbrella Academy,57 min,"Action, Adventure, Comedy",8.5,,"2,497"
Swamp Thing,59 min,"Action, Adventure, Drama",8.6,,"2,496"
His Dark Materials,56 min,"Adventure, Drama, Family",8.5,,"2,492"
Creepshow,44 min,"Fantasy, Horror",7.1,,"2,492"
The Real Original Only Authentic Messiah Has Arrived,7 min,"Short, Biography",9.0,,"2,492"
The Umbrella Academy,51 min,"Action, Adventure, Comedy",8.6,,"2,484"
365 Days,114 min,Drama,3.5,,"2,482"
The Handmaid's Tale,55 min,"Drama, Sci-Fi, Thriller",8.2,,"2,480"
The Family,249 min,Documentary,6.4,,"2,480"
The Handmaid's Tale,50 min,"Drama, Sci-Fi, Thriller",8.1,,"2,478"
The Whistlers,97 min,"Comedy, Crime",6.4,77,"2,473"
Wisting,60 min,"Crime, Drama",7.4,,"2,473"
Feel Good,30 min,"Comedy, Drama, Romance",7.5,,"2,473"
The Umbrella Academy,59 min,"Action, Adventure, Comedy",8.3,,"2,467"
Reprisal,51 min,"Crime, Drama, Thriller",7.5,,"2,452"
Clickbait,80 min,"Comedy, Horror, Thriller",5.3,,"2,447"
The Handmaid's Tale,51 min,"Drama, Sci-Fi, Thriller",7.8,,"2,446"
The Grand Tour,92 min,"Comedy, Talk-Show",9.7,,"2,445"
Euphoria,61 min,Drama,8.3,,"2,443"
Titans,52 min,"Action, Adventure, Crime",7.0,,"2,435"
The Handmaid's Tale,49 min,"Drama, Sci-Fi, Thriller",8.5,,"2,433"
Bait,89 min,Drama,7.2,84,"2,421"
Brooklyn Nine-Nine,21 min,"Comedy, Crime",7.1,,"2,419"
His Dark Materials,53 min,"Adventure, Drama, Family",8.7,,"2,417"
Bekaaboo,20 min,Thriller,8.2,,"2,417"
Homeland,,"Crime, Drama, Mystery",9.6,,"2,414"
The Good Place,53 min,"Comedy, Drama, Fantasy",9.6,,"2,409"
You,49 min,"Crime, Drama, Romance",8.4,,"2,407"
Big Little Lies,46 min,"Crime, Drama, Mystery",8.3,,"2,407"
You,48 min,"Crime, Drama, Romance",8.9,,"2,404"
Majiji,154 min,"Drama, Romance",7.2,,"2,403"
Little Baby,105 min,Family,9.1,,"2,402"
Seventeen,99 min,Drama,7.2,,"2,401"
The Day Shall Come,87 min,"Comedy, Crime",5.8,70,"2,401"
The Outsider,56 min,"Crime, Drama, Fantasy",7.6,,"2,399"
Home Before Dark,45 min,"Crime, Drama, Mystery",7.6,,"2,399"
The Pale Horse,,"Crime, Drama, Mystery",6.1,,"2,395"
The Furies,82 min,"Action, Horror, Thriller",5.3,,"2,393"
The Fix,60 min,"Crime, Drama, Mystery",6.5,,"2,393"
Schooled,30 min,Comedy,6.9,,"2,388"
Anthony Jeselnik: Fire in the Maternity Ward,64 min,Comedy,7.1,,"2,384"
Playmobil: The Movie,99 min,"Animation, Adventure, Comedy",4.7,25,"2,378"
The Assistant,87 min,Drama,6.0,77,"2,377"
The Orville,48 min,"Adventure, Comedy, Drama",8.4,,"2,377"
Mrs. Serial Killer,106 min,"Drama, Crime",2.7,,"2,377"
Six Windows in the Desert,,"Short, Adventure, Comedy",3.9,,"2,375"
The Goop Lab,30 min,"Documentary, Reality-TV",2.3,,"2,372"
Das perfekte Geheimnis,111 min,"Comedy, Drama, Romance",6.8,,"2,372"
Trance,170 min,"Drama, Thriller",7.2,,"2,369"
Proven Innocent,60 min,"Crime, Drama, Mystery",6.4,,"2,368"
Star Trek: Picard,55 min,"Action, Adventure, Drama",7.9,,"2,367"
Alien Warfare,88 min,"Action, Sci-Fi",2.6,,"2,366"
Vinaya Vidheya Rama,146 min,Action,3.3,,"2,360"
Batwoman,42 min,"Action, Adventure, Crime",5.2,,"2,357"
Hostages,42 min,Thriller,6.8,,"2,348"
The Umbrella Academy,44 min,"Action, Adventure, Comedy",8.6,,"2,348"
The Crown,60 min,"Drama, History",8.8,,"2,348"
Altered Carbon,45 min,"Action, Drama, Sci-Fi",6.4,,"2,347"
Ghosts,30 min,"Comedy, Fantasy",7.8,,"2,345"
Big Little Lies,45 min,"Crime, Drama, Mystery",8.3,,"2,341"
The L Word: Generation Q,55 min,Drama,7.2,,"2,339"
Star Trek: Discovery,48 min,"Action, Adventure, Drama",7.3,,"2,337"
The Outsider,60 min,"Crime, Drama, Fantasy",8.2,,"2,330"
Kartoffelsalat 3 - Das Musical,92 min,Musical,7.0,,"2,330"
The Umbrella Academy,56 min,"Action, Adventure, Comedy",8.3,,"2,329"
Halka,120 min,"Action, Crime, Drama",8.7,,"2,328"
The Handmaid's Tale,46 min,"Drama, Sci-Fi, Thriller",7.7,,"2,328"
Fam,30 min,Comedy,6.1,,"2,328"
